Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
73,839,73,1997-04-03,CHI,@,WSB,L 102-110,*,38:39,14,30,.467,1,4,.250,13,26,.500,.483,5,6,.833,0,1,1,6,2,1,2,2,34,22.6,-3
74,840,74,1997-04-04,CHI,,CLE,W 84-71,*,38:12,9,16,.563,0,1,.000,9,15,.600,.563,4,5,.800,1,4,5,3,1,2,0,2,22,19.6,18
75,841,75,1997-04-06,CHI,@,ORL,W 110-94,*,40:27,13,22,.591,3,6,.500,10,16,.625,.659,8,9,.889,2,6,8,5,3,1,4,3,37,31.6,30
76,842,76,1997-04-07,CHI,,PHI,W 128-102,*,29:42,13,25,.520,3,4,.750,10,21,.476,.580,1,2,.500,3,5,8,2,3,2,2,1,30,24.3,9
77,843,77,1997-04-09,CHI,@,IND,W 86-80,*,40:55,8,19,.421,0,3,.000,8,16,.500,.421,7,8,.875,0,3,3,2,5,0,6,2,23,13.0,3
78,844,78,1997-04-10,CHI,@,NYK,W 105-103,*,43:57,12,26,.462,1,3,.333,11,23,.478,.481,9,10,.900,1,7,8,6,1,1,3,3,34,24.7,2
79,845,79,1997-04-13,CHI,@,DET,L 91-108,*,38:25,7,16,.438,0,3,.000,7,13,.538,.438,4,4,1.000,1,8,9,7,0,0,4,1,18,13.2,-18
80,846,80,1997-04-14,CHI,,TOR,W 117-100,*,34:45,12,24,.500,4,7,.571,8,17,.471,.583,2,2,1.000,2,9,11,10,3,1,2,2,30,30.0,22
81,847,81,1997-04-16,CHI,@,MIA,L 92-102,*,39:27,11,27,.407,2,5,.400,9,22,.409,.444,2,4,.500,1,7,8,3,0,1,3,5,26,11.3,-15
82,848,82,1997-04-19,CHI,,NYK,L 101-103,*,39:29,14,22,.636,1,1,1.000,13,21,.619,.659,4,8,.500,0,3,3,3,2,0,4,4,33,21.0,-8
,,,,,,,69-13,82,3108,920,1892,.486,111,297,.374,809,1595,.507,.516,480,576,.833,113,369,482,352,140,44,166,156,2431,22.1,818
