Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
46,730,46,1996-02-06,CHI,@,PHO,L 96-106,*,40:00,9,22,.409,0,2,.000,9,20,.450,.409,10,17,.588,2,0,2,6,3,0,3,5,28,17.0
47,731,47,1996-02-07,CHI,@,GSW,W 99-95,*,46:00,15,31,.484,0,0,,15,31,.484,.484,10,13,.769,6,5,11,6,3,2,2,3,40,34.2
48,732,48,1996-02-13,CHI,,WSB,W 111-98,*,36:00,11,23,.478,2,3,.667,9,20,.450,.522,8,10,.800,2,7,9,3,0,0,4,2,32,20.3
49,733,49,1996-02-15,CHI,@,DET,W 112-109 (OT),*,49:00,10,30,.333,0,1,.000,10,29,.345,.333,12,12,1.000,2,6,8,5,3,0,1,2,32,22.9
50,734,50,1996-02-16,CHI,@,MIN,W 103-100,*,38:00,13,23,.565,4,4,1.000,9,19,.474,.652,5,5,1.000,1,6,7,4,0,1,2,1,35,27.7
51,735,51,1996-02-18,CHI,@,IND,W 110-102,*,42:00,16,29,.552,3,4,.750,13,25,.520,.603,9,10,.900,4,1,5,7,3,2,3,2,44,38.3
52,736,52,1996-02-20,CHI,,CLE,W 102-76,*,35:00,6,19,.316,0,0,,6,19,.316,.316,2,3,.667,3,6,9,6,0,0,0,3,14,9.6
53,737,53,1996-02-22,CHI,@,ATL,W 96-91,*,43:00,15,26,.577,2,2,1.000,13,24,.542,.615,2,2,1.000,1,2,3,3,0,1,2,0,34,23.9
54,738,54,1996-02-23,CHI,@,MIA,L 104-113,*,40:00,9,21,.429,1,4,.250,8,17,.471,.452,12,13,.923,3,6,9,5,4,0,3,4,31,26.3
55,739,55,1996-02-25,CHI,,ORL,W 111-91,*,40:00,8,19,.421,1,1,1.000,7,18,.389,.447,6,8,.750,2,3,5,7,2,0,1,2,23,19.5
56,740,56,1996-02-27,CHI,,MIN,W 120-99,*,41:00,11,24,.458,2,3,.667,9,21,.429,.500,11,12,.917,2,4,6,7,2,0,1,2,35,29.9
57,741,57,1996-03-01,CHI,,GSW,W 110-87,*,35:00,7,17,.412,1,3,.333,6,14,.429,.441,2,3,.667,0,3,3,6,6,0,3,1,17,15.2
58,742,58,1996-03-02,CHI,,BOS,W 107-75,*,32:00,8,15,.533,0,2,.000,8,13,.615,.533,5,8,.625,3,5,8,8,4,1,1,0,21,25.4
59,743,59,1996-03-05,CHI,,MIL,W 115-106,*,32:00,12,20,.600,4,5,.800,8,15,.533,.700,5,6,.833,4,4,8,4,2,0,3,0,33,29.2
60,744,60,1996-03-07,CHI,,DET,W 102-81,*,38:00,21,28,.750,2,4,.500,19,24,.792,.786,9,10,.900,2,9,11,2,6,0,4,3,53,47.7
61,745,61,1996-03-10,CHI,@,NYK,L 72-104,*,43:00,12,26,.462,2,4,.500,10,22,.455,.500,6,7,.857,1,7,8,3,1,1,7,3,32,16.6
62,746,62,1996-03-13,CHI,,WSB,W 103-86,*,36:00,12,25,.480,2,6,.333,10,19,.526,.520,11,12,.917,0,6,6,5,1,0,3,2,37,26.4
63,747,63,1996-03-15,CHI,,DEN,W 108-87,*,36:00,14,22,.636,3,5,.600,11,17,.647,.705,2,3,.667,0,6,6,3,3,2,3,2,33,27.3
64,748,64,1996-03-16,CHI,@,NJN,W 97-93,*,43:00,14,29,.483,2,5,.400,12,24,.500,.517,7,7,1.000,2,14,16,5,1,3,0,4,37,32.9
65,749,65,1996-03-18,CHI,@,PHI,W 98-94,*,47:00,15,32,.469,0,5,.000,15,27,.556,.469,8,10,.800,2,9,11,4,1,0,2,5,38,24.7
66,750,66,1996-03-19,CHI,,SAC,W 89-67,*,35:00,7,16,.438,0,3,.000,7,13,.538,.438,6,6,1.000,2,7,9,3,2,0,6,3,20,12.0
67,751,67,1996-03-21,CHI,,NYK,W 107-86,*,37:00,14,24,.583,1,4,.250,13,20,.650,.604,7,7,1.000,0,11,11,5,1,0,1,3,36,30.4
68,752,68,1996-03-24,CHI,@,TOR,L 108-109,*,39:00,14,22,.636,0,1,.000,14,21,.667,.636,8,8,1.000,5,4,9,2,0,2,2,3,36,30.5
69,753,69,1996-03-28,CHI,,ATL,W 111-80,*,30:00,5,12,.417,0,1,.000,5,11,.455,.417,3,6,.500,0,5,5,7,1,1,0,3,13,12.3
70,754,70,1996-03-30,CHI,,LAC,W 106-85,*,34:00,6,15,.400,0,1,.000,6,14,.429,.400,9,10,.900,4,5,9,6,2,0,1,1,21,21.6
71,755,71,1996-04-02,CHI,@,MIA,W 110-92,*,37:00,11,23,.478,2,3,.667,9,20,.450,.522,8,8,1.000,1,7,8,3,2,0,1,4,32,24.6
72,756,72,1996-04-04,CHI,,MIA,W 100-92,*,41:00,13,24,.542,1,4,.250,12,20,.600,.563,13,16,.813,3,4,7,3,4,2,4,2,40,33.2
73,757,73,1996-04-05,CHI,@,CHH,W 126-92,*,28:00,10,16,.625,2,2,1.000,8,14,.571,.688,2,3,.667,0,5,5,4,3,0,3,0,24,20.7
74,758,74,1996-04-07,CHI,@,ORL,W 90-86,*,44:00,10,30,.333,2,4,.500,8,26,.308,.367,5,5,1.000,1,2,3,1,2,0,1,2,27,12.2
75,759,75,1996-04-08,CHI,,CHH,L 97-98,*,42:00,13,27,.481,1,3,.333,12,24,.500,.500,13,19,.684,4,7,11,5,1,0,1,2,40,31.5
76,760,76,1996-04-11,CHI,@,NJN,W 113-100,*,26:00,8,18,.444,0,1,.000,8,17,.471,.444,1,4,.250,3,4,7,3,3,0,3,0,17,11.8
77,761,77,1996-04-12,CHI,,PHI,W 112-82,*,29:00,10,16,.625,2,4,.500,8,12,.667,.688,1,1,1.000,2,1,3,0,4,1,2,2,23,19.4
78,762,78,1996-04-14,CHI,@,CLE,W 98-72,*,35:00,11,18,.611,4,7,.571,7,11,.636,.722,6,6,1.000,3,9,12,3,1,0,3,0,32,28.7
79,763,79,1996-04-16,CHI,@,MIL,W 86-80,*,42:00,9,27,.333,1,4,.250,8,23,.348,.352,3,4,.750,1,8,9,4,2,1,4,1,22,10.5
80,764,80,1996-04-18,CHI,,DET,W 110-79,*,24:00,11,18,.611,4,5,.800,7,13,.538,.722,4,4,1.000,1,4,5,1,1,0,2,1,30,23.0
81,765,81,1996-04-20,CHI,,IND,L 99-100,*,31:00,9,23,.391,2,5,.400,7,18,.389,.435,4,5,.800,0,2,2,6,1,1,3,4,24,13.0
82,766,82,1996-04-21,CHI,@,WSB,W 103-93,*,24:00,11,22,.500,1,3,.333,10,19,.526,.523,3,3,1.000,1,3,4,4,4,0,1,0,26,22.4
,,,,,,,72-10,82,3090,916,1850,.495,111,260,.427,805,1590,.506,.525,548,657,.834,148,395,543,352,180,42,197,195,2491,23.4
