Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,752,63,2013-03-13,MIA,@,PHI,W 98-94,*,37:14,8,19,.421,1,4,.250,7,15,.467,.447,10,12,.833,2,5,7,8,2,1,4,1,27,22.9,7
64,753,64,2013-03-15,MIA,@,MIL,W 107-94,*,38:14,12,24,.500,0,2,.000,12,22,.545,.500,4,5,.800,1,9,10,7,0,1,2,1,28,22.2,5
65,754,65,2013-03-17,MIA,@,TOR,W 108-91,*,33:50,6,12,.500,2,6,.333,4,6,.667,.583,8,11,.727,1,11,12,8,2,0,3,1,22,23.0,10
66,755,66,2013-03-18,MIA,@,BOS,W 105-103,*,42:15,16,29,.552,1,4,.250,15,25,.600,.569,4,6,.667,1,6,7,12,2,2,5,3,37,30.4,13
67,756,67,2013-03-20,MIA,@,CLE,W 98-95,*,42:19,8,22,.364,3,7,.429,5,15,.333,.432,6,8,.750,7,5,12,10,3,2,4,1,25,25.4,1
68,757,68,2013-03-22,MIA,,DET,W 103-89,*,39:53,12,15,.800,1,1,1.000,11,14,.786,.833,4,6,.667,1,7,8,8,2,1,3,1,29,30.2,14
69,758,69,2013-03-24,MIA,,CHA,W 109-77,*,34:10,11,14,.786,0,1,.000,11,13,.846,.786,10,11,.909,0,8,8,10,3,3,4,0,32,36.7,22
70,759,70,2013-03-25,MIA,@,ORL,W 108-94,*,38:45,9,16,.563,0,0,,9,16,.563,.563,6,10,.600,1,8,9,11,1,0,3,2,24,22.8,25
71,760,71,2013-03-27,MIA,@,CHI,L 97-101,*,39:56,11,17,.647,2,5,.400,9,12,.750,.706,8,11,.727,0,7,7,3,2,4,4,1,32,27.9,2
72,761,72,2013-03-29,MIA,@,NOH,W 108-89,*,32:13,13,20,.650,7,10,.700,6,10,.600,.825,3,5,.600,0,4,4,6,2,0,3,0,36,30.8,19
72,,73,2013-03-31,MIA,@,SAS,W 88-86,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
72,,74,2013-04-02,MIA,,NYK,L 90-102,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
72,,75,2013-04-05,MIA,@,CHA,W 89-79,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
73,762,76,2013-04-06,MIA,,PHI,W 106-87,*,29:42,12,17,.706,1,2,.500,11,15,.733,.735,2,2,1.000,0,4,4,5,1,0,1,1,27,24.2,22
74,763,77,2013-04-09,MIA,,MIL,W 94-83,*,30:04,11,16,.688,0,1,.000,11,15,.733,.688,6,6,1.000,1,6,7,7,2,1,3,0,28,28.3,21
74,,78,2013-04-10,MIA,@,WAS,W 103-98,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
75,764,79,2013-04-12,MIA,,BOS,W 109-101,*,28:51,8,10,.800,0,0,,8,10,.800,.800,4,4,1.000,1,5,6,9,0,0,1,1,20,23.3,6
76,765,80,2013-04-14,MIA,,CHI,W 105-93,*,34:51,7,12,.583,1,1,1.000,6,11,.545,.625,9,12,.750,0,7,7,6,1,0,3,2,24,20.7,8
76,,81,2013-04-15,MIA,@,CLE,W 96-95,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
76,,82,2013-04-17,MIA,,ORL,W 105-93,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,,,,,,,61-15,76,2881,765,1354,.565,103,254,.406,662,1100,.602,.603,403,535,.753,97,513,610,551,129,67,226,110,2036,24.4,720
